
[32;1m NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName[0m
[32;1m ------    -----      -----     ------      --  -- -----------[0m
     22     9.11       9.59       0.28    3048   1 AcrobatNotificationClient
     23     9.13      13.77       0.36   15084   1 AcrobatNotificationClient
     18     4.24      14.73       0.27    6756   1 acrotray
     25    11.67      26.32      12.03   11472   1 Adobe CEF Helper
     31    47.07      85.81     241.53   11484   1 Adobe CEF Helper
     30    39.34      53.00      13.81   11492   1 Adobe CEF Helper
     24    13.01      26.11       4.38   13440   1 Adobe CEF Helper
     88    98.45      68.01      46.72   11352   1 Adobe Desktop Service
     16     4.14      12.02       0.83   11008   1 AdobeCollabSync
     20     6.39      14.45      42.38   11044   1 AdobeCollabSync
     15     4.13      11.91       0.95   11140   1 AdobeCollabSync
     20     6.41      15.40      43.05   11176   1 AdobeCollabSync
     21     5.21      11.63      19.48    7764   1 AdobeIPCBroker
     23     8.86       4.53       0.30    3592   1 AdobeNotificationClient
     14     2.70       9.20       0.00    3936   0 AdobeUpdateService
     14     3.92      12.21       0.00    3912   0 AGMService
     13     3.96      12.34       0.00    3932   0 AGSService
     19     9.09      24.35       0.12    1604   1 ApplicationFrameHost
      8     1.61       6.09       0.00    3612   0 armsvc
      4     0.61       2.71       0.02   13072   1 CCLibrary
      4     0.62       2.61       0.00    4548   1 CCXProcess
     19    48.45      57.86       4.14     952   1 chrome
     20    53.41      66.69       6.44    1160   1 chrome
     16    20.85      45.93      20.28    2064   1 chrome
     23   162.37     202.86      61.52    2080   1 chrome
     18    21.24      47.10       0.58    2700   1 chrome
     19    30.29      56.07       3.34    2716   1 chrome
     23    67.79      69.91      41.31    2964   1 chrome
     16    13.76      30.91       0.09    3092   1 chrome
     17    32.00      47.92       2.81    3312   1 chrome
     18    39.95      71.79       6.16    3676   1 chrome
     20    50.22      61.59       4.92    3864   1 chrome
     18    40.86      74.41       5.64    4144   1 chrome
     17    44.91      76.85      13.53    4212   1 chrome
     78   653.64     402.25     403.58    4344   1 chrome
     19    33.79      76.95       9.30    4456   1 chrome
     16    18.93      38.43       1.03    4652   1 chrome
      9     2.15       6.83       0.27    4744   1 chrome
     18    53.99      59.65      27.77    4760   1 chrome
     18    62.46      95.40      13.52    5560   1 chrome
     24    35.54      54.96     123.69    5740   1 chrome
     16    18.89      39.59       0.73    5892   1 chrome
     18    46.94      83.21       3.58    5980   1 chrome
     16    19.26      38.64       1.05    6356   1 chrome
