
[32;1m NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName[0m
[32;1m ------    -----      -----     ------      --  -- -----------[0m
     22     9.11       9.59       0.28    3048   1 AcrobatNotificationClient
     23     9.13      11.40       0.36   15084   1 AcrobatNotificationClient
     18     4.18      14.70       0.27    6756   1 acrotray
     25    11.64      26.22      12.19   11472   1 Adobe CEF Helper
     31    47.17      85.82     243.52   11484   1 Adobe CEF Helper
     30    39.31      52.99      13.95   11492   1 Adobe CEF Helper
     23    12.99      26.09       4.41   13440   1 Adobe CEF Helper
     88    98.38      68.00      47.14   11352   1 Adobe Desktop Service
     16     4.14      12.02       0.83   11008   1 AdobeCollabSync
     20     6.14      14.34      43.16   11044   1 AdobeCollabSync
     15     4.14      11.91       0.97   11140   1 AdobeCollabSync
     20     6.41      15.39      43.84   11176   1 AdobeCollabSync
     21     5.15      11.61      19.83    7764   1 AdobeIPCBroker
     23     8.86       4.53       0.30    3592   1 AdobeNotificationClient
     13     2.64       9.17       0.00    3936   0 AdobeUpdateService
     14     3.79      12.16       0.00    3912   0 AGMService
     13     3.89      12.32       0.00    3932   0 AGSService
     19     9.04      24.33       0.12    1604   1 ApplicationFrameHost
      8     1.55       6.06       0.00    3612   0 armsvc
      4     0.58       2.70       0.02   13072   1 CCLibrary
      4     0.59       2.59       0.00    4548   1 CCXProcess
     19    48.42      57.85       4.16     952   1 chrome
     20    53.38      66.68       6.44    1160   1 chrome
     16    20.82      45.98      20.33    2064   1 chrome
     23   162.34     202.85      61.53    2080   1 chrome
     17    21.21      47.09       0.58    2700   1 chrome
     19    30.25      56.11       3.34    2716   1 chrome
     23    67.76      69.90      41.34    2964   1 chrome
     17    31.98      47.92       2.81    3312   1 chrome
     18    39.92      71.78       6.16    3676   1 chrome
     20    50.19      61.58       4.95    3864   1 chrome
     18    40.83      74.40       5.66    4144   1 chrome
     17    44.88      76.84      13.53    4212   1 chrome
     78   672.32     420.99     405.92    4344   1 chrome
     19    38.02      79.14       9.36    4456   1 chrome
     16    18.90      38.42       1.03    4652   1 chrome
      9     2.15       6.83       0.27    4744   1 chrome
     17    53.96      59.64      27.78    4760   1 chrome
     18    62.43      95.57      13.56    5560   1 chrome
     27    35.55      54.95     124.72    5740   1 chrome
     16    18.86      39.58       0.73    5892   1 chrome
     18    46.91      83.20       3.59    5980   1 chrome
     16    19.23      38.63       1.06    6356   1 chrome
    142   277.95     299.27     778.73    6380   1 chrome
